"id","text"
"1078446_1","wine cabinets definition"
"1078446_2","wine cabinets definition"
"1078446_3","wine cabinets definition"
"1078446_4","wine cabinets definition"
"1078446_5","wine cabinets definition"
"1078446_6","wine cabinets definition"
"1101443_1","anchor definition in literature"
"1101443_2","anchor definition in literature"
"1101443_3","anchor definition in literature"
"1101443_4","anchor definition in literature"
"1101443_5","anchor definition in literature"
"1101443_6","anchor definition in literature"
"1101443_7","anchor definition in literature"
"1101443_8","anchor definition in literature"
"839488_1","what is the plural of kohlrabies"
"839488_2","what is the plural of kohlrabies"
"839488_3","what is the plural of kohlrabies"
"839488_4","what is the plural of kohlrabies"
"839488_5","what is the plural of kohlrabies"
"839488_6","what is the plural of kohlrabies"
"839488_7","what is the plural of kohlrabies"
"839488_8","what is the plural of kohlrabies"
"840053_1","what is the population of pakistan"
"840053_2","what is the population of pakistan"
"840053_3","what is the population of pakistan"
"840053_4","what is the population of pakistan"
"840053_5","what is the population of pakistan"
"840053_6","what is the population of pakistan"
"840053_7","what is the population of pakistan"
"840053_8","what is the population of pakistan"
"840053_9","what is the population of pakistan"
"776517_1","what is new positive attitude means?"
"776517_2","what is new positive attitude means?"
"776517_3","what is new positive attitude means?"
"776517_4","what is new positive attitude means?"
"776517_5","what is new positive attitude means?"
"776517_6","what is new positive attitude means?"
"776517_7","what is new positive attitude means?"
"776517_8","what is new positive attitude means?"
"792847_1","what is rustic italian food"
"792847_2","what is rustic italian food"
"792847_3","what is rustic italian food"
"792847_4","what is rustic italian food"
"792847_5","what is rustic italian food"
"792847_6","what is rustic italian food"
"798883_1","what is spoofing in the context of it?"
"798883_2","what is spoofing in the context of it?"
"798883_3","what is spoofing in the context of it?"
"798883_4","what is spoofing in the context of it?"
"798883_5","what is spoofing in the context of it?"
"798883_6","what is spoofing in the context of it?"
"798883_7","what is spoofing in the context of it?"
"798883_8","what is spoofing in the context of it?"
"177238_1","early signs of thyroid problems"
"177238_2","early signs of thyroid problems"
"177238_3","early signs of thyroid problems"
"177238_4","early signs of thyroid problems"
"177238_5","early signs of thyroid problems"
"177238_6","early signs of thyroid problems"
"177238_7","early signs of thyroid problems"
"935707_1","when are mushrooms in season"
"935707_2","when are mushrooms in season"
"935707_3","when are mushrooms in season"
"935707_4","when are mushrooms in season"
"935707_5","when are mushrooms in season"
"935707_6","when are mushrooms in season"
"935707_7","when are mushrooms in season"
"935707_8","when are mushrooms in season"
"935707_9","when are mushrooms in season"
"1001381_1","where to find bath salts"
"1001381_2","where to find bath salts"
"1001381_3","where to find bath salts"
"1001381_4","where to find bath salts"
"1001381_5","where to find bath salts"
"1001381_6","where to find bath salts"
"1001381_7","where to find bath salts"
"1001381_8","where to find bath salts"
"1001381_9","where to find bath salts"
"953020_1","when is the latest time to book a flight"
"953020_2","when is the latest time to book a flight"
"953020_3","when is the latest time to book a flight"
"953020_4","when is the latest time to book a flight"
"953020_5","when is the latest time to book a flight"
"953020_6","when is the latest time to book a flight"
"953020_7","when is the latest time to book a flight"
"953020_8","when is the latest time to book a flight"
"953020_9","when is the latest time to book a flight"
"953020_10","when is the latest time to book a flight"
"897953_1","what state is st. cloud in"
"897953_2","what state is st. cloud in"
"897953_3","what state is st. cloud in"
"897953_4","what state is st. cloud in"
"897953_5","what state is st. cloud in"
"897953_6","what state is st. cloud in"
"897953_7","what state is st. cloud in"
"897953_8","what state is st. cloud in"
"897953_9","what state is st. cloud in"
"897953_10","what state is st. cloud in"
"825147_1","what is the hormone that makes you fat"
"825147_2","what is the hormone that makes you fat"
"825147_3","what is the hormone that makes you fat"
"825147_4","what is the hormone that makes you fat"
"825147_5","what is the hormone that makes you fat"
"825147_6","what is the hormone that makes you fat"
"825147_7","what is the hormone that makes you fat"
"824542_1","what is the height of a bus"
"824542_2","what is the height of a bus"
"824542_3","what is the height of a bus"
"824542_4","what is the height of a bus"
"824542_5","what is the height of a bus"
"824542_6","what is the height of a bus"
"824542_7","what is the height of a bus"
"824542_8","what is the height of a bus"
"874299_1","what lizards like to be handled"
"874299_2","what lizards like to be handled"
"874299_3","what lizards like to be handled"
"874299_4","what lizards like to be handled"
"874299_5","what lizards like to be handled"
"874299_6","what lizards like to be handled"
"874299_7","what lizards like to be handled"
"922024_1","what was the potsdam conference"
"922024_2","what was the potsdam conference"
"922024_3","what was the potsdam conference"
"922024_4","what was the potsdam conference"
"922024_5","what was the potsdam conference"
"922024_6","what was the potsdam conference"
"922024_7","what was the potsdam conference"
"922024_8","what was the potsdam conference"
"922024_9","what was the potsdam conference"
"922024_10","what was the potsdam conference"
"974670_1","where does the name nadia come from"
"974670_2","where does the name nadia come from"
"974670_3","where does the name nadia come from"
"974670_4","where does the name nadia come from"
"974670_5","where does the name nadia come from"
"974670_6","where does the name nadia come from"
"803237_1","what is terminal velocity for humans"
"803237_2","what is terminal velocity for humans"
"803237_3","what is terminal velocity for humans"
"803237_4","what is terminal velocity for humans"
"803237_5","what is terminal velocity for humans"
"803237_6","what is terminal velocity for humans"
"803237_7","what is terminal velocity for humans"
"803237_8","what is terminal velocity for humans"
"803237_9","what is terminal velocity for humans"
"815243_1","what is the definition of my monologue"
"815243_2","what is the definition of my monologue"
"815243_3","what is the definition of my monologue"
"815243_4","what is the definition of my monologue"
"815243_5","what is the definition of my monologue"
"815243_6","what is the definition of my monologue"
"815243_7","what is the definition of my monologue"
"1091786_1","between where is istanbul"
"1091786_2","between where is istanbul"
"1091786_3","between where is istanbul"
"1091786_4","between where is istanbul"
"1091786_5","between where is istanbul"
"1091786_6","between where is istanbul"
"1091786_7","between where is istanbul"
"1091786_8","between where is istanbul"
"785176_1","what is polydextrose made from"
"785176_2","what is polydextrose made from"
"785176_3","what is polydextrose made from"
"785176_4","what is polydextrose made from"
"785176_5","what is polydextrose made from"
"785176_6","what is polydextrose made from"
"785176_7","what is polydextrose made from"
"785176_8","what is polydextrose made from"
"991419_1","where is redford michigan"
"991419_2","where is redford michigan"
"991419_3","where is redford michigan"
"991419_4","where is redford michigan"
"991419_5","where is redford michigan"
"991419_6","where is redford michigan"
"991419_7","where is redford michigan"
"991419_8","where is redford michigan"
"1058284_1","who wrote good will hunting"
"1058284_2","who wrote good will hunting"
"1058284_3","who wrote good will hunting"
"1058284_4","who wrote good will hunting"
"1058284_5","who wrote good will hunting"
"1058284_6","who wrote good will hunting"
"272047_1","how long to roast whole.chicken"
"272047_2","how long to roast whole.chicken"
"272047_3","how long to roast whole.chicken"
"272047_4","how long to roast whole.chicken"
"272047_5","how long to roast whole.chicken"
"272047_6","how long to roast whole.chicken"
"272047_7","how long to roast whole.chicken"
"272047_8","how long to roast whole.chicken"
"115833_1","days sales in cash ratio definition"
"115833_2","days sales in cash ratio definition"
"115833_3","days sales in cash ratio definition"
"115833_4","days sales in cash ratio definition"
"115833_5","days sales in cash ratio definition"
"115833_6","days sales in cash ratio definition"
"1091692_1","phone number for amtrak information"
"1091692_2","phone number for amtrak information"
"1091692_3","phone number for amtrak information"
"1091692_4","phone number for amtrak information"
"1091692_5","phone number for amtrak information"
"1091692_6","phone number for amtrak information"
"1091692_7","phone number for amtrak information"
"214771_1","how did the Battle of Ortona happen"
"214771_2","how did the Battle of Ortona happen"
"214771_3","how did the Battle of Ortona happen"
"214771_4","how did the Battle of Ortona happen"
"214771_5","how did the Battle of Ortona happen"
"214771_6","how did the Battle of Ortona happen"
"1091688_1","phone number for bc transit junction"
"1091688_2","phone number for bc transit junction"
"1091688_3","phone number for bc transit junction"
"1091688_4","phone number for bc transit junction"
"1091688_5","phone number for bc transit junction"
"1091688_6","phone number for bc transit junction"
"1091688_7","phone number for bc transit junction"
"1091688_8","phone number for bc transit junction"
"1091688_9","phone number for bc transit junction"
"372674_1","how to play noodle hockey"
"372674_2","how to play noodle hockey"
"372674_3","how to play noodle hockey"
"372674_4","how to play noodle hockey"
"372674_5","how to play noodle hockey"
"372674_6","how to play noodle hockey"
"372674_7","how to play noodle hockey"
"372674_8","how to play noodle hockey"
"1091667_1","phone number for groupone healthsource"
"1091667_2","phone number for groupone healthsource"
"1091667_3","phone number for groupone healthsource"
"1091667_4","phone number for groupone healthsource"
"1091667_5","phone number for groupone healthsource"
"1091667_6","phone number for groupone healthsource"
"1091667_7","phone number for groupone healthsource"
"1091667_8","phone number for groupone healthsource"
"1091667_9","phone number for groupone healthsource"
"1091667_10","phone number for groupone healthsource"
"1091661_1","phone number for iracing"
"1091661_2","phone number for iracing"
"1091661_3","phone number for iracing"
"1091661_4","phone number for iracing"
"1091661_5","phone number for iracing"
"1091661_6","phone number for iracing"
"1091661_7","phone number for iracing"
"1091661_8","phone number for iracing"
"1091661_9","phone number for iracing"
"1091661_10","phone number for iracing"
"1091654_1","phone number for parisian beauty school"
"1091654_2","phone number for parisian beauty school"
"1091654_3","phone number for parisian beauty school"
"1091654_4","phone number for parisian beauty school"
"1091654_5","phone number for parisian beauty school"
"1091654_6","phone number for parisian beauty school"
"1091654_7","phone number for parisian beauty school"
"1091654_8","phone number for parisian beauty school"
"1091654_9","phone number for parisian beauty school"
"1091654_10","phone number for parisian beauty school"
"1091643_1","phone number for the springhill"
"1091643_2","phone number for the springhill"
"1091643_3","phone number for the springhill"
"1091643_4","phone number for the springhill"
"1091643_5","phone number for the springhill"
"1091643_6","phone number for the springhill"
"1091643_7","phone number for the springhill"
"1091643_8","phone number for the springhill"
"1091643_9","phone number for the springhill"
"935364_1","when and where is mlb all star game"
"935364_2","when and where is mlb all star game"
"935364_3","when and where is mlb all star game"
"935364_4","when and where is mlb all star game"
"935364_5","when and where is mlb all star game"
"935364_6","when and where is mlb all star game"
"935364_7","when and where is mlb all star game"
"1004493_1","where would one find drakensberg?"
"1004493_2","where would one find drakensberg?"
"1004493_3","where would one find drakensberg?"
"1004493_4","where would one find drakensberg?"
"1004493_5","where would one find drakensberg?"
"1004493_6","where would one find drakensberg?"
"1004493_7","where would one find drakensberg?"
"1004493_8","where would one find drakensberg?"
"1004493_9","where would one find drakensberg?"
"933551_1","what's the weather in jakarta?"
"933551_2","what's the weather in jakarta?"
"933551_3","what's the weather in jakarta?"
"933551_4","what's the weather in jakarta?"
"933551_5","what's the weather in jakarta?"
"933551_6","what's the weather in jakarta?"
"771170_1","what is mercury's orbital period"
"771170_2","what is mercury's orbital period"
"771170_3","what is mercury's orbital period"
"771170_4","what is mercury's orbital period"
"771170_5","what is mercury's orbital period"
"771170_6","what is mercury's orbital period"
"771170_7","what is mercury's orbital period"
"771170_8","what is mercury's orbital period"
"1079888_1","world's largest goldfish on record"
"1079888_2","world's largest goldfish on record"
"1079888_3","world's largest goldfish on record"
"1079888_4","world's largest goldfish on record"
"1079888_5","world's largest goldfish on record"
"1079888_6","world's largest goldfish on record"
"933946_1","what's the weight of a gallon of milk"
"933946_2","what's the weight of a gallon of milk"
"933946_3","what's the weight of a gallon of milk"
"933946_4","what's the weight of a gallon of milk"
"933946_5","what's the weight of a gallon of milk"
"933946_6","what's the weight of a gallon of milk"
"933946_7","what's the weight of a gallon of milk"
"933946_8","what's the weight of a gallon of milk"
"933946_9","what's the weight of a gallon of milk"
"897910_1","what state is rhode island"
"897910_2","what state is rhode island"
"897910_3","what state is rhode island"
"897910_4","what state is rhode island"
"897910_5","what state is rhode island"
"897910_6","what state is rhode island"
"897910_7","what state is rhode island"
"897910_8","what state is rhode island"
"1065388_1","why do people repeat themselves"
"1065388_2","why do people repeat themselves"
"1065388_3","why do people repeat themselves"
"1065388_4","why do people repeat themselves"
"1065388_5","why do people repeat themselves"
"1065388_6","why do people repeat themselves"
"1065388_7","why do people repeat themselves"
"1065388_8","why do people repeat themselves"
"1065388_9","why do people repeat themselves"
"1101394_1","different types of thumb surgery"
"1101394_2","different types of thumb surgery"
"1101394_3","different types of thumb surgery"
"1101394_4","different types of thumb surgery"
"1101394_5","different types of thumb surgery"
"1101394_6","different types of thumb surgery"
"1101394_7","different types of thumb surgery"
"1101394_8","different types of thumb surgery"
"959589_1","when was richard nixon become president"
"959589_2","when was richard nixon become president"
"959589_3","when was richard nixon become president"
"959589_4","when was richard nixon become president"
"959589_5","when was richard nixon become president"
"959589_6","when was richard nixon become president"
"959589_7","when was richard nixon become president"
"959589_8","when was richard nixon become president"
"900164_1","what system does straight talk use?"
"900164_2","what system does straight talk use?"
"900164_3","what system does straight talk use?"
"900164_4","what system does straight talk use?"
"900164_5","what system does straight talk use?"
"900164_6","what system does straight talk use?"
"245416_1","how long do i bake squash seeds"
"245416_2","how long do i bake squash seeds"
"245416_3","how long do i bake squash seeds"
"245416_4","how long do i bake squash seeds"
"245416_5","how long do i bake squash seeds"
"245416_6","how long do i bake squash seeds"
"770894_1","what is melena diagnosis"
"770894_2","what is melena diagnosis"
"770894_3","what is melena diagnosis"
"770894_4","what is melena diagnosis"
"770894_5","what is melena diagnosis"
"770894_6","what is melena diagnosis"
"770894_7","what is melena diagnosis"
"767671_1","what is made from beaver fur"
"767671_2","what is made from beaver fur"
"767671_3","what is made from beaver fur"
"767671_4","what is made from beaver fur"
"767671_5","what is made from beaver fur"
"767671_6","what is made from beaver fur"
"767671_7","what is made from beaver fur"
"767671_8","what is made from beaver fur"
"1091479_1","population of greater concepcion, chile"
"1091479_2","population of greater concepcion, chile"
"1091479_3","population of greater concepcion, chile"
"1091479_4","population of greater concepcion, chile"
"1091479_5","population of greater concepcion, chile"
"1091479_6","population of greater concepcion, chile"
"1091479_7","population of greater concepcion, chile"
"1091479_8","population of greater concepcion, chile"
"995029_1","where is the city of tightwad"
"995029_2","where is the city of tightwad"
"995029_3","where is the city of tightwad"
"995029_4","where is the city of tightwad"
"995029_5","where is the city of tightwad"
"995029_6","where is the city of tightwad"
"995029_7","where is the city of tightwad"
